Observed,Predicted
2038575.1583139722,1188994.3386496892
1273451.166747338,1241994.9077109648
1579075.5467473378,1285506.9708213257
1354780.6245788964,1313979.7118466145
1488075.5513262344,1332087.9835223146
1493310.8500016134,1343557.2082882272
1799026.4075911585,1350817.0487396715
1232597.2275911584,1355412.001453897
1204989.0453017103,1358320.2347444743
2506838.672531462,1360160.9074915126
1128512.4149403034,1361325.901780919
2946076.0901242336,1362063.2472097084
1418962.2493981929,1362529.9261306599
1058277.0831332689,1362825.2954467929
2301600.144219103,1363012.2398940003
682772.649398193,1363130.5603302547
1419595.9972297514,1363205.4474202138
1645272.1687963859,1363252.8447796225
1736544.8746999032,1363282.8434039534
1457536.9765069378,1363301.8300621337
1708561.971808648,1363313.847052809
1389209.2391577929,1363321.4528180533
1885853.1739787029,1363326.2666409572
